ID|Emotion|Factor|Situation|Memories
140|Depression|Depression-1|As you stand by the hospital bed, holding the frail hand of your beloved grandmother, memories of her warm smile and loving advice flood your mind. You watch as her heartbeat monitor slows to a steady tone, and her presence slips away, leaving a void that seems impossible to fill. The weight of loss settles upon your chest, as you realize you'll never get to hear her laughter or feel her comforting embrace again.|I am next to my grandmother's hospital bed, and my hand is in contact with hers.~Memories of past experiences with her, such as her facial expressions and suggestions she gave, come to mind.~My eyes are drawn to the heartbeat monitor, and I note the fluctuations in its readings.~I register a change in the environment when there is a halt in the rhythmic sounds of her breathing.~I recognize the permanence of the situation, understanding that we will not engage in future exchanges.
141|Depression|Depression-1|As you walk into your grandfather's room, the once familiar scent of his cologne now lingers in the air, mingling with the overwhelming silence. The empty chair by the fireplace serves as a painful reminder of the lively conversations and heartfelt laughter that once filled the room, leaving you feeling a profound sense of loss and longing for the warmth of his presence.|Upon entering my grandfather's room, I detect the familiar scent of his cologne that lingers in the air.~The room is quiet, and my attention is drawn to the vacant chair situated beside the fireplace.~I reflect on past events that occurred within these walls, bringing to mind the various discussions and moments shared here.~I become cognizant of my grandfather's absence, noting the space where he once occupied.~I remain standing in the midst of the room, taking in the alterations of the environment and the shift that has taken place in the atmosphere.
142|Depression|Depression-1|As you stand in the empty hallway of your childhood home, the silence engulfs you, a haunting reminder of the voices that once filled the space. The photographs on the walls capture memories frozen in time, now serving as bittersweet reminders of the love and laughter that once filled your heart. The untouched dinner table reminds you of the nightly rituals and conversations that will never be shared again, leaving you feeling adrift in a sea of grief and longing.|I enter the hallway of my childhood home, noting the quiet atmosphere.~I turn my attention to the photographs lining the walls, each capturing different instances from earlier years.~I observe the dinner table, which is arranged with place settings, yet there are no individuals seated there.~I consider the former evening activities and exchanges that used to take place regularly in this area.~I recognize the alterations that have occurred within the family structure and consider their effects on the present situation.
143|Depression|Depression-2|As the sun sets on the beach, a gentle breeze caresses your skin, but it no longer carries the familiar scent of their hair. The vacant space beside you on the blanket reminds you of the void in your heart, where their laughter used to reside. With each crashing wave, you watch your memories fade into the vast expanse of the ocean, leaving you adrift in the wake of your love.|I arrive at the beach in the late afternoon. The sun is beginning its descent towards the horizon, and a breeze moves through the air.~While sitting on the sand, I become aware of the environment around me. There is a distinct lack of a familiar scent that often accompanied the presence of another individual who is not present.~I take note of the area around me and the blanket I am seated on. The space next to me is unoccupied.~My gaze is drawn towards the ocean where the waves are meeting the shore. I contemplate the nature of recollection and the role of memories.~As the evening progresses, I remain by the ocean, observing the water as the available light from the sun decreases.
144|Depression|Depression-2|As you wake up each morning, the empty side of the bed serves as a painful reminder of the love you once shared. The vibrant colors of the world have dulled to shades of gray, mirroring the void in your heart. Each passing day, your longing for their touch becomes a heavy burden, weighing down your every step.|In the morning, I open my eyes and notice the other side of the bed is empty.~I look around and see the colors in the room, which seem muted.~During the day, I find myself thinking about the physical contact I used to have.~I notice that these thoughts are present while I'm trying to focus on my tasks.~I maintain my usual routine, all the while being conscious of the emptiness that seems to be there.
145|Depression|Depression-2|As you walk through the park, the scent of blooming flowers reminds you of the times you spent together, the laughter and warmth now gone. Each passing couple holding hands intensifies the emptiness in your heart, and the once vibrant world turns grey, mirroring the colors of your shattered emotions. You try to hold back tears, but the ache in your chest keeps growing, leaving you feeling adrift in an ocean of loneliness.|As I meander through the park, I become aware of the fragrance of flowers in full bloom.~I recall instances of traversing similar environments, taking note of the activities and surroundings that were present during those times.~My gaze falls upon pairs who are walking in unison, their hands intertwined.~The vibrancy of my surroundings seems to have diminished compared to previous observations.~There is an increasing awareness of a sensation within my chest, accompanied by an acute sense of solitude.
146|Depression|Depression-2|As you walk down the street, the once-familiar melodies that filled your ears now blend into a cacophony of melancholic tunes. The colorful blooms lining the path, once symbols of hope, now wither before your eyes, mirroring the fading warmth in your heart. Every shared memory, every whispered promise, now etched in your mind as painful reminders of a love that slipped away.|As I walk down the street, I notice a difference in the melodies that are playing around me. The tunes seem to have altered in their structure and arrangement.~While walking, I pay attention to the flowers along the path. It's observable that they have lost some of their brightness and their overall state suggests they are not as fresh as they once were.~During my stroll, I find that my mind often drifts to previous exchanges and incidents that have taken place at various points in time.~I am aware that these recollections are related to an individual who has since been absent from my day-to-day experiences.~I maintain my pace, recognizing the shift that has occurred in the scenery around me as well as the shift in my internal connections to these surroundings.
147|Depression|Depression-2|As you scroll through your social media feed, you stumble upon a picture of them the person who once held your heart embraced tightly by someone new. The familiar warmth that once enveloped your soul now feels like a distant memory, leaving you with an unshakable emptiness that settles deep within your chest, whispering doubts of worthiness and love.|I open a social media application and start scrolling through the updates and posts from various contacts.~While scrolling, a photograph appears showing an individual with whom I previously shared a connection.~The image depicts this person alongside another individual, both of whom are situated closely together.~I pause to think about previous interactions with the person and observe the differences between those times and the current situation portrayed in the photo.~I resume scrolling through the social media platform, recognizing the changes that have occurred in my social landscape.
148|Depression|Depression-3|You wake up to a constant stream of urgent messages and deadlines, feeling the weight of mounting responsibilities on your shoulders. Your mind races with worries and pressures, unable to find a moment of respite as the demands of work and personal life collide. Each night, you lie awake, tense and exhausted, dreading the next day's challenges that seem to never end.|Upon waking, I am greeted by the persistent ringing of my phone. I reach for it and scan through a barrage of urgent messages that have accumulated.~Seated at my desk, I take a moment to organize my thoughts and proceed to draft a list of pending tasks, each annotated with its respective deadline.~I dedicate the day to methodically tackling each item on my list, carefully balancing professional duties with personal errands.~As daylight fades into evening, I remain occupied with the day's assignments, noting the tasks that will inevitably carry over to the next day.~In preparation for sleep, I lie in bed, my mind actively engaged in a review of unfinished business, until sleep ultimately takes over.
149|Depression|Depression-3|As you wake up each morning, the weight of yesterday's unfinished tasks and the never-ending to-do list loom over you like a dark cloud. Every step feels heavier than the last, and the constant pressure to meet expectations becomes suffocating. Your once-vibrant passions dim as exhaustion seeps into your bones, leaving you numb and disconnected from the world around you.|I open my eyes in the morning and immediately remember a series of tasks left undone from yesterday. There is no particular urgency as I mentally review them.~The morning routine sets in, and with it comes the awareness of a long list of tasks that lie ahead. I approach them methodically, one by one.~The day progresses and I am involved in my scheduled activities. I periodically take stock of the tasks that I have completed and those that are still pending.~Evening comes and I take a moment to consider the day's work. I note the tasks that I managed to complete and those that will need to be addressed later.~Nighttime arrives, and as I prepare for bed, I am conscious of a lessened engagement with my personal interests, acknowledging a sense of weariness that accompanies the end of the day.
150|Depression|Depression-3|You wake up to the sound of your alarm, feeling exhausted and dreading another day of juggling overwhelming work demands and mounting personal responsibilities. As you drag yourself through the day, the weight of constant pressure bears down on your shoulders, eroding your energy, enthusiasm, and sense of fulfillment, leaving you feeling trapped in an unending cycle of stress and despair.|The alarm emits a sound and my eyes respond by opening. I elevate my body to an upright position and register the time, which indicates the beginning of my daily routine.~I proceed to submerge myself into the flow of work-related responsibilities and personal tasks. I take note of the quantity and the intricacy of the various items that require my attention.~With the day advancing, I maintain my focus on the execution of occupational duties and the handling of personal matters. I observe the tasks as they begin to accumulate.~I discover that my time is consistently absorbed by a range of demands. There is a recognition of a sustained pattern of engagement with these activities throughout the day.~As the day reaches its end, I initiate the process of preparing for what lies ahead. I acknowledge the cyclical nature of these responsibilities and tasks.
151|Depression|Depression-3|As you wake up each morning, the weight of the world settles on your shoulders like a heavy fog. The constant pressure to meet unattainable expectations and the relentless demands of life leave you feeling trapped in an endless loop of exhaustion and hopelessness. With each passing day, it becomes harder to summon the energy to even face the world outside your window, as the joy and excitement you once felt slowly fade into the distance.|The day begins as I gain consciousness and immediately take note of the tasks and duties that lie ahead.~Through the morning, a familiar sequence of responsibilities and expectations from those around me comes into focus.~As I consider the list of activities I must undertake, I find myself struggling to muster the drive to start.~I reflect on how my daily routines, once sources of satisfaction, now unfold with a decreased sense of reward.~Despite this, I persist in my routine, acknowledging the effort it takes to remain engaged with the external demands of each day.
152|Depression|Depression-3|As the days blend into a monotonous routine, you find yourself juggling never-ending responsibilities and mounting pressure. Sleepless nights become the norm as your mind races with worries, feeling trapped in a perpetual cycle with no respite in sight, slowly draining the colors from your once vibrant world.|My alarm sounds at the usual hour, and I rise from bed to begin my day. The sequence of brushing my teeth, making breakfast, and dressing is familiar and unfolds without variation.~The day progresses with a series of tasks and commitments. From one appointment to the next, the list of duties extends, each one leading to the next in a steady stream.~During the night, I find myself lying awake, the room quiet around me. Various topics occupy my thoughts, and I consider the responsibilities that await me, compiling in my mind.~I notice that the days blend into one another, each appearing much like the last. The concept of a weekend or a holiday seems like a distant notion, with no clear demarcation between one period and the next.~I spend time on pastimes and leisure activities that I once chose for pleasure. However, the experience is consistent with my daily pattern, and the surroundings contribute to a sense of sameness.
153|Depression|Depression-4|As the days pass, you find yourself surrounded by an eerie silence. The once-bustling social gatherings have become distant echoes, and your phone remains untouched, void of any notifications. The longing for human connection grows stronger, and you yearn for the sound of laughter and the comfort of shared moments, yet the solitude persists, enveloping you in its isolating embrace.|I see the spaces that were once filled with people and social events. They are now quiet and there are no gatherings happening.~I check my phone and notice the screen remains unchanged, with no new messages or notifications coming through.~I acknowledge a personal wish to engage with others, to hear laughter, and to partake in experiences that are shared amongst companions.~I persist in this environment where interaction with other individuals has not occurred for a considerable time.~I find myself continuing in an uninterrupted state where my interactions are limited to my own company.
154|Depression|Depression-4|As you wake up each morning, the silence echoes through your empty apartment. The once vibrant messages on your phone have dwindled to a single notification, a reminder of the event you declined. With every passing day, the weight of loneliness settles deeper within you, as you yearn for human connection that seems to slip further away.|The morning arrives and I open my eyes. The apartment is quiet, no sounds are noticeable.~I pick up my phone, the screen lights up revealing a single notification. It's about an event, one that I have decided to not participate in.~With each passing day, I take note of the absence of conversations or exchanges with other individuals.~An awareness of a need for social interaction develops, yet it seems increasingly difficult to fulfill.~My daily activities persist, and I am conscious of the fact that they are conducted in a space where I am alone.
155|Depression|Depression-4|As you sit alone in your dimly lit room, your phone remains silent, devoid of any notifications. The laughter and chatter of friends echoes from distant places, their warmth a cruel reminder of the void that surrounds you. Hours turn into days, and the weight of loneliness settles upon your shoulders, suffocating your spirit and casting shadows over your once vibrant heart.|I am seated in my room with minimal lighting. The mobile device beside me has its screen off, showing no incoming messages or alerts.~Echoes of laughter and ongoing discussions reach my ears, their source indeterminate and not within my immediate vicinity.~Time progresses while I sustain my presence in the same setting. The mobile device maintains its inactive status.~I register a consistent physical response that influences my sitting posture and the rhythm of my respiration.~The atmosphere of the room seems to retain its initial characteristics and my location within the space does not vary.
156|Depression|Depression-4|You wake up to another quiet morning, scrolling through your phone to find no new messages or notifications. As you walk past the empty lunch table at work, your colleagues engaged in animated conversations, you can't help but feel like an outsider, the invisible presence no one acknowledges. The weight of loneliness settles upon you, suffocating any glimmer of connection you yearn for.|The morning begins with the usual sound of my alarm. I reach for my phone to check for any updates. The screen lights up, showing the time and the absence of any new messages or notifications.~I stand up and commence my daily routine. This involves personal hygiene, selecting appropriate attire, and preparing a meal to start the day.~Upon arrival at my place of work, I pass the communal lunch area. My eyes briefly meet the scene of my colleagues engaged in conversation amongst themselves.~Settling into my workspace, I direct my attention to the list of tasks assigned to me. My focus remains on completing these tasks efficiently.~As the hours progress, I continue to dedicate myself to my work, cognizant of the office environment and the personal area I occupy.
157|Depression|Depression-4|As you sit alone in your apartment, the sounds of laughter and conversation from the neighbors' gathering outside drift through the walls, a stark reminder of the invisible barrier that separates you from the warmth and connection you once had. The silence in your own space is deafening, amplifying the ache in your heart and the heaviness of your solitude, leaving you feeling trapped in a world where everyone else has moved on.|I am in a seated position in my apartment, surrounded by the familiarity of my own space.~Audible noises from the neighboring apartment's social event make their way through the walls into my apartment.~I become aware of the stark difference in auditory levels when comparing the external sounds to the quietness of my current environment.~My time is spent within the confines of my apartment as the sounds of the nearby gathering persist.~Time passes and the evening advances while I remain solitary in my apartment.
158|Depression|Depression-5|As you step outside, a bitter cold bites at your exposed skin, causing you to huddle deeper into your coat. The world around you is covered in a blanket of snow, its pristine beauty contrasting with the emptiness you feel inside. The absence of vibrant colors and the prolonged darkness leave you longing for the warmth and energy of sunlit days, evoking a sense of desolation.|Upon exiting the building, I register that the ambient temperature is considerably lower than when I was indoors. My coat is not fully fastened, so I take a moment to adjust it, ensuring that it provides full coverage against the cold.~I take a moment to survey the landscape around me, noting the blanket of snow that covers the ground. The scenery is dominated by white shades, a typical aspect of the current season.~Observing the sky, I consider how the daylight hours have grown shorter. The reduction in natural light during the day is indicative of the seasonal shift.~I reflect on my personal inclinations towards climate, acknowledging an affinity for settings that offer warmer temperatures and extended periods of sunlight.~There is a noticeable contrast when I compare the prevailing winter conditions with my own preferences for climate, characterized by warmth and increased sunlight.
159|Depression|Depression-5|As you gaze out of your frost-covered window, the once vibrant streets now appear deserted, wrapped in a melancholic silence. The grey skies loom overhead, casting a shadow on your spirit, matching the barren trees that seem to reflect your inner emptiness. The bitter cold seeps through every crack, reminding you of the warmth and life that once existed, now lost in the icy grip of winter.|Upon waking, I direct my gaze towards the window and notice that frost has formed on its surface, which makes it challenging to see the exterior environment clearly.~Looking out further, I realize that the streets are devoid of people. This is unusual for the area, which typically has pedestrian activity. The overall noise from the surroundings is minimal.~My attention shifts to the sky. Its color is a consistent grey tone. The light that filters through appears subdued, not as bright as it often is. In my field of vision, I spot trees that stand bare, without their usual foliage.~As I continue observing, I become conscious of the room's temperature. It is distinctly cold, a sensation that persists, suggesting that the external temperature must be quite low as well.~I reflect on the current condition, noting the stark difference from times when the environment was warmer. There is a clear recognition of the seasonal transition from a warmer period to the current colder state.
160|Depression|Depression-5|As you gaze out the frost-covered windowpane, the world appears shrouded in a monochromatic stillness. The biting cold seeps through the cracks, isolating you from the vibrant life outside. The distant laughter of children building snowmen serves as a stark reminder of the joy that feels forever out of reach|I wake and my eyes adjust to the soft light filtering through the window. The pane is covered with frost, which obscures the details of the world outside, leaving a mosaic of grays and whites.~I rise from my bed and become aware that the ambient temperature within the room is lower than what I typically experience. The chill of the winter day seems to breach the walls, making its presence known.~As I move closer to the window, the muffled sound of children reaches my ears. They are outdoors, engaging with the snowy landscape, their movements punctuated by the snow's crunch.~I stand by the window, my hands gently resting on the sill, observing the scene outside. The barrier of the window keeps me separate from the active world beyond it.~Time passes as I watch the scene unfold outside. The dynamic play of the children contrasts with the static nature of my room, and I take note of the ongoing activities as the day progresses.
161|Depression|Depression-5|As you walk through the quiet streets in winter, a blanket of snow covers everything, muffling the usual lively sounds. The bare trees stand like solemn witnesses to the cold and desolate landscape, reflecting the emptiness you feel within. The fading daylight casts long shadows, adding to the sense of isolation and melancholy that grips your heart.|The clock indicates that it's late afternoon as I make my way along the city streets, observing the transition from day to night.~A blanket of snow lies uniformly on the sidewalks and parked cars, contributing to the altered visual aspect of the urban area.~I pass by several trees, their branches bare and forming sharp silhouettes against the fading light of the sky.~I make a mental note of the quietness, recognizing the lack of usual city sounds such as traffic and conversation.~As I progress on my path, the elongating shadows create a dynamic pattern on the ground, altering the typical scenery of my walk.
162|Depression|Depression-5|As you step out into the bitter cold, the sharp winter wind bites at your exposed skin, seeping through every layer of clothing. The once vibrant landscape is now a barren wasteland, covered in a thick blanket of snow, devoid of life and color. The gloomy gray skies overhead match the heaviness in your heart, as you navigate the desolate streets, feeling isolated and longing for the warmth and brightness of spring.|I leave my residence and immediately become aware of the wind's strength as it moves around me.~I am wearing several layers of clothing, yet I detect that they are not entirely effective in shielding me from the chill in the air.~As I make my way forward, I take in the sight of the landscape thoroughly blanketed by snow, devoid of any greenery or plant life.~Raising my gaze, I notice the sky, which presents itself as uniformly overcast with a palette of gray hues.~Navigating through the streets, which show no signs of other individuals, I persist in my journey to the place I need to reach.
163|Frustration|Frustration-0|A friend lets you down on a date, and calls you the following day to let you know that he/she didn't feel like meeting with you and went out with other people instead.|I begin my preparations for the evening by choosing my attire carefully. I also continuously monitor the time to make sure I adhere to the schedule for the upcoming date.~Upon my arrival at the predetermined spot, I check my watch to confirm that I am on time and begin to wait for my friend to join me.~As time progresses and my friend has not yet appeared, I take out my phone to check for any communications that I might have missed, only to see that there are no new messages or calls.~The next day, I receive communication from my friend. During our conversation, they reveal to me that they made the decision not to come as we had originally arranged, opting instead to spend time with a different group of friends.~I listen to my friend's explanation on the phone, understand the situation, and then continue with the activities I had planned for my day.
164|Frustration|Frustration-0|You arrange with a good friend to go out together, and he/she will contact you to meet each other. You don't hear from him/her.|I complete the arrangement to meet with a friend and we agree that they will send me a message to confirm the details for our meeting time and location.~On the scheduled day, I continue with my regular activities, occasionally glancing at my phone and other communication devices in anticipation of receiving an update from my friend.~As the day progresses into the late afternoon and then evening, my routine includes periodically checking for any missed calls or messages, yet none are found.~Having not received any communication, I decide to reach out to my friend myself. I send a text message asking for confirmation of our meeting plans but receive no reply in the moment.~As the evening turns to night, I adapt to the situation by engaging in different solitary activities, still without any communication from my friend.
165|Frustration|Frustration-0|Your clock failed to wake you up in the morning and you miss the final class of a course.|My eyes open to the sight of my clock, the digits indicating that the scheduled alarm did not activate. The time is later than I had planned to rise.~I perform my morning routine with haste and travel to the educational institution, only to arrive post the commencement of the final scheduled class.~Upon reaching the classroom, I observe the door to be shut and the lecture underway. A sign denotes that entry is not permitted for those who are late.~I make my way to the administration office to seek clarity on the institution's policies for circumstances involving missed classes, especially concerning final sessions.~At the administration office, I am provided with documentation on the procedures to follow in the event of an absence from a final class. I take notes of the necessary steps to be taken.
166|Frustration|Frustration-0|You miss a popular party because you fall asleep at home.|I lay down for a short rest with the intention of rejuvenating myself before getting ready for the party.~I continue to sleep beyond the time I had set to wake up, which leads to an extended period of rest.~When I finally wake up, I check the current time and notice that the party has commenced without my presence.~I evaluate the time it would take to travel to the party, and I ascertain that the celebration has been in progress for some time.~I decide to stay at home after realizing that the appropriate time to make an appearance at the party has elapsed.
167|Frustration|Frustration-0|You're out for a drink after a hard day's work, and you have to wait 30 minutes before you are served.|I exit the workplace and make my way into the establishment known as the bar.~Upon finding an available seat at the bar, I take a moment to glance at the current time.~I watch as the staff engage with customers, providing them with service, while I occasionally check my watch.~A duration of thirty minutes elapses before a staff member approaches me with the intention of taking my order.~I communicate my desired order to the staff member and then continue to wait as my drink is prepared and subsequently delivered.
169|Frustration|Frustration-1|Your friend is in a coma after an accident.|My phone rings, and I answer it to hear a voice from the hospital explaining that my friend is there, having been in an accident and is now unresponsive and under observation.~Upon arrival at the hospital, I follow the signage to navigate the maze of corridors until I reach the room where my friend is being kept, and I note the presence of various medical machines.~I stand next to the hospital bed, observing the mechanical process that is ensuring my friend's continued breathing, a pattern of inhalation and exhalation facilitated by the equipment.~I engage with the hospital staff, posing questions regarding the status of my friend's health and listening as they detail the medical interventions being employed.~After exiting the room, I find my way to the waiting area, take a seat, and begin to consider the logistical measures necessary to support my friend during this period of hospitalization.
170|Frustration|Frustration-1|A floppy disk holding an important school assignment is destroyed by your computer.|I approach the computer and insert the floppy disk that contains my school assignment into the disk drive.~The computer begins to make a series of unusual sounds, and the light on the disk drive blinks in an irregular pattern.~A message pops up on the monitor, indicating an error that the disk is unreadable and suggesting that the data could be corrupted.~I press the eject button on the drive, remove the floppy disk, and notice that there are visible signs of damage on the disk's magnetic surface.~In an effort to retrieve the data, I locate an alternative computer and insert the floppy disk into its drive, but the disk still cannot be accessed and the data remains out of reach.
171|Frustration|Frustration-1|A swimming appointment is cancelled because one of your friends falls ill.|I gather my swim gear and check my phone, noticing a message indicating that the swimming appointment is no longer occurring.~I send a message to ask why the appointment was cancelled and receive a reply informing me that a friend is unwell.~Upon understanding the situation, I return my swim gear to its storage location.~I review my schedule and think about other possible activities I could do during the time I had set aside for swimming.~After considering my options, I select an alternative activity and begin to participate in that instead.
172|Frustration|Frustration-1|Upon leaving class, you notice that a police officer is removing your bike because it was illegally parked.|Upon exiting the classroom building, I notice several individuals gathered outside. I observe an officer who appears to be attending to bicycles parked near the entrance.~The officer is engaged in the process of removing bicycles from the vicinity of the entrance. There is a collection of bikes that have been detached and set aside.~I approach the scene for a closer inspection and recognize my own bicycle amongst those in the possession of the officer.~I engage in a conversation with the officer who explains to me that my bicycle was parked in a manner that is not compliant with the university's established parking rules.~After the discussion, I proceed to make my way to the university's campus police station with the intention of addressing the matter concerning the retrieval of my bicycle.
173|Frustration|Frustration-1|You are hit by a car on your way to an important appointment, causing you to miss the appointment.|I am proceeding on the sidewalk to reach my scheduled appointment. During this time, a vehicle comes into contact with me.~Individuals nearby observe the situation and make a decision to contact emergency services, who subsequently arrive at the location of the incident.~The emergency team is present and they commence with administering first aid while also preparing for my transportation to the medical facility.~Subsequently, I am conveyed to the hospital where I undergo an evaluation and receive treatment for the injuries sustained.~As I remain in the hospital for care, the designated time for my appointment elapses.
178|Frustration|Frustration-2|The waiter in a restaurant informs you that it may take a while before you can eat because it is a busy evening. Finally, you are served after 50 minutes of waiting.|Upon entering the restaurant, the host directs me to a table where I take a seat.~A waiter comes to my table shortly after and communicates that there is a delay in service, attributing it to the number of customers currently in the restaurant.~While waiting, I glance at my watch periodically and observe the bustling environment of the establishment.~Fifty minutes after I was seated, the same waiter approaches with my meal and places it in front of me on the table.~I proceed to eat the meal that has been provided.
179|Frustration|Frustration-2|On holiday with friends, you arrange that each, in turn, has to carry the heavy tent gear. One day, the tent gear is missing.|The morning light filters into the campsite, indicating the start of a new day. I remember that today, it is my responsibility to carry the heavy tent gear as we continue our hike.~I step out of my tent and begin to scan the campsite, looking for the tent gear. I move around the area where we typically organize our equipment for the day's journey.~Despite a thorough search of the vicinity, the tent gear is not located in the usual spot where we place it for the person whose turn it is to carry.~I approach each of my friends individually and ask if they have seen or moved the tent gear, hoping to gather information on its whereabouts.~Having spoken to all my friends and confirming that none of them have moved or taken the tent gear, we collectively recognize its absence. We then proceed to deliberate on the possible steps we can take to manage the rest of our trip without the tent gear.
180|Frustration|Frustration-2|You have arranged for a hotel room with sea-view. Upon arrival, you are given a room without a sea-view.|Before departing for my trip, I go online to reserve a hotel room. I choose a room advertised with a view of the sea and complete the booking process.~Upon arrival at the hotel, I approach the check-in desk. The staff greets me and goes through the check-in procedures. They hand me the keys to my room.~I take the elevator to my room, unlock the door, and step inside. I walk over to the window to appreciate the view, but instead of the sea, I see the cityscape.~I take the elevator back down to the lobby and approach the check-in desk once more. I present my booking details and explain that the room I received does not match the one I booked, specifically mentioning the lack of a sea view.~The staff checks their system and informs me that there are currently no rooms available with a view of the sea. I acknowledge this information and decide to remain in the room with the city view for the time I will be staying at the hotel.
181|Frustration|Frustration-2|A friend returns your CD player, claiming that everything is OK, but it turns out to be broken afterwards.|My friend hands me the CD player, stating that it operates as expected.~Upon attempting to use the CD player, I press the power button but observe no response from the device.~I open the battery compartment to ensure the batteries are inserted according to the indicated polarity and notice they are correctly installed.~I visually examine the exterior of the CD player for any signs of physical damage or wear, but I detect none.~Despite the assurance of functionality from my friend, I ascertain that the CD player remains inoperative.
182|Frustration|Frustration-2|A fellow student fails to return your notes when you need them for studying.|The date of the upcoming exam enters my mind, prompting me to consider reviewing my notes to prepare.~Recalling that I had lent my notes to a classmate, I compose and send a message to them requesting the return of my notes.~Upon receiving a reply, I learn that the classmate is currently in a situation where they are unable to return the notes to me.~I decide to go to the library to search for any resources that could serve as a replacement for my personal notes.~I allocate my evening to studying at the library, utilizing the materials I found to prepare for the exam in the absence of my notes.
183|Frustration|Frustration-3|You are in love with someone but he/she is more interested in someone else.|During my day-to-day activities, I become aware of a frequent thought pattern that includes a particular individual. This person comes to mind often during various situations.~In social settings, I notice this individual seems to consistently engage with another person in both conversations and joint activities, rather than with me.~Seeking to build a connection, I take the initiative to approach the individual and engage in conversation, aiming to foster a rapport akin to what I have observed with the other person.~After multiple attempts to interact, I observe that the individual continues to direct their attention and engagement towards the other person, rather than reciprocating my efforts.~I remain in the social environment where the individual and their companion are present, continuing my typical activities and interactions without altering my behavior to seek their attention.
184|Frustration|Frustration-3|You arrange with your roommates that each in turn has to put out the garbage. When it someone else's turn, you noticed that he/she didn't clean up.|During a conversation with my roommates, we come to a consensus on a weekly schedule. This schedule details the days each of us is assigned to take out the garbage, ensuring shared responsibilities among us.~On a day when it is one of my roommate's turn to manage the garbage duties, I pass by the kitchen and take note that the garbage bin is full and has not been emptied according to the plan we had previously established.~I look at the clock to ascertain the time, which confirms that it is beyond the customary hour we usually adhere to for garbage disposal.~I decide to visit my roommate's room to inquire about the situation. Upon arrival, I see that my roommate is present in their room, and I also observe that the garbage has not been displaced from its original spot.~After the brief visit, I proceed to engage in my own activities, while the garbage remains in the kitchen, untouched and in the same state as before.
185|Frustration|Frustration-3|You hear that a friend is spreading gossip about you.|I check my phone and notice a new message from a colleague. The message contains information that a friend has been sharing my personal details with other people.~While at a social gathering, I run into an acquaintance who is also a common friend. During our conversation, the individual mentions similar details that were discussed in the prior message, confirming that such conversations have taken place.~I choose to speak with my friend about this situation. I ask them about the conversations they have had and the personal information that has been disclosed to others.~During our discussion, my friend admits to having those conversations and offers a rationale for why they felt it was necessary to share that information.~After hearing my friend's side, I take some time to think about what has been said and weigh the options for how our relationship will proceed from this point forward.
186|Frustration|Frustration-3|You are fired from your holiday job.|Upon checking my mailbox, I find a letter from my employer. The letter states that my employment has been terminated effective immediately.~I go to my workspace, as the letter instructed, to collect my personal belongings. I place items from my desk and office into a box.~After gathering my belongings, I leave the workplace. I meet with a designated official to return any company property that was in my possession.~At home, I take out my computer and access my resume. I make updates to reflect the recent end of my employment and begin looking for new job opportunities online.~I sit down with my financial documents and review my budget. I make necessary adjustments to my spending and savings plans to manage my finances without an income until I find new employment.
187|Frustration|Frustration-3|You have a group assignment with some fellow students. They don't work hard, and you all get a bad grade.|In class, the instructor announces a group assignment and distributes the class into different teams. I am placed in a group with four other students.~While we are in the planning phase of the assignment, I observe that the frequency and amount of input from the other group members are limited.~As the submission deadline nears, I find that the bulk of the assignment has been completed by me.~Upon reviewing the group assignment, the instructor shares their feedback and assigns a grade that is below the class average.~Following the feedback session, our group convenes to go over the instructor's comments, which point out that the project was deficient in depth and detail in certain sections.
188|Jealousy|Jealousy-0|Your spouse/partner provided/received emotional support to his/her colleague of an opposite sex.|I exit the workplace and observe my spouse standing with a colleague. They seem to be engaged in a post-work discussion.~As I approach, it becomes apparent that the conversation is of a serious nature. My spouse is seen offering thoughts and what could be construed as reassurance to the colleague.~Within earshot, I pick up parts of their conversation and learn that they are planning to meet again for further discussions.~During a separate conversation, my spouse mentions the colleague and shares that the individual is experiencing personal difficulties. It appears that my spouse has been acting as a source of support.~In the subsequent weeks, I notice that my spouse keeps in touch with the colleague. There are occasional messages and calls indicating an ongoing support dynamic.
189|Jealousy|Jealousy-0|Your spouse/partner engaged in conversational messages/emails with his/her colleague of an opposite sex.|While using the shared computer, an email notification appears. It is from a colleague of my spouse and the content of the message is directed at my spouse, concluding with a friendly closing remark.~During further use of the computer, I come across a series of email exchanges between my spouse and this colleague. The emails show a pattern of frequent communication and include conversations on various topics that do not solely pertain to their professional work.~At one point, I glance at my spouse and notice they are responding to an email from the colleague. There is a noticeable smile on my spouse's face as they type.~Curiosity leads me to review the email thread once more, where I discover a message discussing a planned meeting over coffee to talk about a project.~At a later time, I incidentally hear my spouse engaged in a phone conversation. The discussion is with the colleague, and they are confirming the details of the time they have decided to meet for their coffee discussion.
190|Jealousy|Jealousy-0|Your spouse/partner complimented appearance of his/her colleague of an opposite sex.|During a casual conversation, my spouse remarks on a colleague's attire, noting its professionalism and coordination.~While having dinner, my spouse details various occurrences at work, including how the colleague contributed to a recent project.~My spouse mentions the upcoming work event and talks about what to wear for it, considering the colleague's style as a point of reference.~Prior to the work event, I notice my spouse taking additional time to prepare and dress.~At the work function, I observe my spouse engaging in a professional dialogue with the colleague.
